Class,Mean Error,Median Error,Mean Confidence,Missed Detections,Extra Detections
118.0,3.1746300678504142,3.2580974102020264,0.7858030701938429,0.0,0.0
120.0,5.430966724952062,5.524801254272461,0.851483461757501,0.0,0.0
122.0,8.529416734522039,8.697765350341797,0.7705934860489585,0.0,0.0
124.0,4.0068944077938795,4.290004253387451,0.8226808030158281,0.0,0.0
125.0,4.8270362211125235,4.6785008907318115,0.8560986327273505,0.0,0.0
127.0,3.8157178154497435,3.402613639831543,0.9172884731581716,0.0,0.0
128.0,3.059723275048392,2.2098671197891235,0.89748515188694,0.0,0.0
130.0,7.768355199268886,6.6974709033966064,0.8209024114268166,0.0,0.0
131.0,2.9359940115143273,2.858963966369629,0.8456307772327872,0.0,0.0
132.0,6.221432293906356,5.657173156738281,0.8248616113807216,0.0,0.0
134.0,5.504081732696957,4.723856449127197,0.7926711075835757,0.0,0.0
136.0,3.452290417118506,3.449782609939575,0.8575040684504942,0.0,0.0
137.0,4.042138137600639,4.713415622711182,0.84695903821425,0.0,0.0
139.0,4.38047856092453,4.231492757797241,0.9124981939792634,0.0,0.0
140.0,3.6400633732477825,3.744300365447998,0.8401914755503337,0.0,0.0
142.0,4.375094976276159,3.7812238931655884,0.8370528817176819,0.0,0.0
143.0,4.808879315853119,4.126237869262695,0.829192727804184,0.0,0.0
144.0,7.84737879889352,6.73154878616333,0.8072905795914787,0.0,0.0
147.0,5.518223702907562,4.340412855148315,0.7876731157302856,0.0,0.0
148.0,5.1226487159729,5.1226487159729,0.8157451748847961,0.0,0.0
149.0,7.295156741843504,5.849362373352051,0.7938018791815814,0.0,0.0
150.0,4.5068089405695595,3.0202112197875977,0.8588596423467,0.0,0.0
151.0,6.269819013774395,4.0488996505737305,0.8472485579550266,0.0,0.0
153.0,3.6388977212565288,3.3242626190185547,0.8992515312773841,0.0,0.0
154.0,8.715053796768188,6.966407060623169,0.7793936431407928,0.0,0.0
155.0,3.2568111883269415,2.744645595550537,0.7828513715002272,0.0,0.0
159.0,8.03739774510974,7.281820058822632,0.8137744338739485,0.0,0.0
160.0,2.695443272590637,2.695443272590637,0.7482583224773407,0.0,0.0
161.0,3.048841932415962,2.8659579753875732,0.8706795603036881,0.0,0.0
162.0,6.9444675856623155,5.796846866607666,0.8886958381225323,0.0,0.0
163.0,5.772291618844737,5.160170078277588,0.840989351272583,0.0,0.0
164.0,3.7720048308372496,2.759626030921936,0.7887852728366852,0.0,0.0
168.0,7.255301162600517,5.507466554641724,0.8310163194934527,0.0,0.0
170.0,31.126507750966333,8.325377941131592,0.8554593067277562,0.0,0.0
172.0,3.242896834245095,2.4774516820907593,0.9280242736522968,0.0,0.0
173.0,6.693451838833945,6.387023448944092,0.8631718669618879,0.0,0.0
174.0,7.810868895572165,7.7834954261779785,0.8587160421454388,0.0,0.0
177.0,7.640923759211665,6.369161128997803,0.8830126610355101,0.0,0.0
178.0,7.955464476033261,7.010130405426025,0.8417490563894573,0.0,0.0
179.0,4.182345604896545,3.8496923446655273,0.8732294845581055,0.0,0.0
180.0,5.648358073345451,5.531924247741699,0.8409595669702042,0.0,0.0
181.0,4.684584712982177,4.241209030151367,0.8630221085114913,0.0,0.0
183.0,7.069127559661865,6.959353446960449,0.8266549601274378,0.0,0.0
184.0,5.107328662872314,4.517226219177246,0.9027494263648986,0.0,0.0
185.0,9.816399614016214,8.09116268157959,0.8736540277798971,0.0,0.0
186.0,10.20412011941274,8.451099395751953,0.8567206969967595,0.0,0.0
187.0,8.061718830695519,8.18445110321045,0.8653575709232917,0.0,0.0
189.0,7.718586911261082,6.2933478355407715,0.843821331858635,0.0,0.0
191.0,8.444668874570302,5.969769477844238,0.8826890536717006,0.0,0.0
193.0,8.034447531951102,8.245386123657227,0.8213725529218975,0.0,0.0
195.0,4.7631393149495125,4.109086990356445,0.8041214048862457,0.0,0.0
196.0,4.745591081105745,3.9322316646575928,0.8829985513136938,0.0,0.0
197.0,11.06006732251909,9.817041397094727,0.862554156117969,0.0,1.0
199.0,7.3207053343455,7.693006992340088,0.8107751465979076,0.0,0.0
200.0,7.637079405784607,7.172609329223633,0.8318220943212509,0.0,0.0
201.0,5.431560913964016,4.270421028137207,0.8577945552221159,0.0,0.0
202.0,4.6945360625783605,3.5998870134353638,0.8996441786487898,0.0,0.0
203.0,5.92996131490778,5.967923164367676,0.8794254572303207,0.0,0.0
204.0,4.3849465151627856,3.972578763961792,0.8740177402893702,0.0,0.0
205.0,5.795708258946736,5.2005791664123535,0.8815786728152523,0.0,0.0
210.0,5.11172133056741,5.521156072616577,0.8571923877063551,0.0,0.0
211.0,5.546558953248537,3.907219648361206,0.8818112550637661,0.0,0.0
212.0,7.066316347855788,6.676474094390869,0.8480906715759864,0.0,0.0
214.0,5.992779773214589,3.4227049350738525,0.8916244480920874,0.0,0.0
